,item_type,id,url,title,location,price,rooms,m2
3872,listing_no_promo,58631328,https://www.otodom.pl/oferta/duzy-potencjal-stare-miasto-centrum-dluga-ID3Y0GA.html#f4f90ae749,Duży potencjał - Stare Miasto / Centrum / Długa,"Mieszkanie na sprzedaż: Kraków, Stare Miasto",498 500 zł,2 pokoje,"69,86 m²"
3873,listing_no_promo,58631284,https://www.otodom.pl/oferta/ul-chmielna-nowe-4-5-6-pokojowe-ID3Y0FS.html#f4f90ae749,ul. Chmielna NOWE 4-5-6 pokojowe,"Mieszkanie na sprzedaż: Kraków, Kurdwanów",499 000 zł,6 pokoi,63 m²
3874,listing_no_promo,58631264,https://www.otodom.pl/oferta/ul-chmielna-nowe-2-pokojowe-ID3Y0Fy.html#f4f90ae749,ul. Chmielna NOWE 2 pokojowe,"Mieszkanie na sprzedaż: Kraków, Kurdwanów",275 000 zł,2 pokoje,31 m²
3875,listing_no_promo,58631188,https://www.otodom.pl/oferta/komfortowe-4-pokoje-w-przedsprzedazy-ID3Y0Ek.html#f4f90ae749,Komfortowe 4 pokoje w przedsprzedaży,"Mieszkanie na sprzedaż: Kraków, Prądnik Biały",423 200 zł,4 pokoje,"59,20 m²"
3876,listing_no_promo,58631184,https://www.otodom.pl/oferta/4-pokoje-z-ogrodkiem-skorzystaj-z-przedsprzedazy-ID3Y0Eg.html#f4f90ae749,4 pokoje z ogródkiem - skorzystaj z przedsprzedaży,"Mieszkanie na sprzedaż: Kraków, Bronowice Wielkie",604 200 zł,4 pokoje,"90,17 m²"
3877,listing_no_promo,58631180,https://www.otodom.pl/oferta/dwupoziomowy-apartament-w-otoczeniu-zieleni-ID3Y0Ec.html#f4f90ae749,Dwupoziomowy apartament w otoczeniu zieleni,"Mieszkanie na sprzedaż: Kraków, Bronowice Małe",548 400 zł,5 pokoi,"85,70 m²"
3878,listing_no_promo,58631156,https://www.otodom.pl/oferta/3-pokoje-balkon-zachodnie-ID3Y0DO.html#f4f90ae749,"3 pokoje + balkon, zachodnie","Mieszkanie na sprzedaż: Kraków, Prądnik Biały",399 400 zł,3 pokoje,"52,21 m²"
3879,listing_no_promo,58631152,https://www.otodom.pl/oferta/kawalerka-przedsprzedaz-ID3Y0DK.html#f4f90ae749,Kawalerka - przedsprzedaż,"Mieszkanie na sprzedaż: Kraków, Prądnik Biały",290 700 zł,1 pokój,"29,52 m²"
3880,listing_no_promo,58630956,https://www.otodom.pl/oferta/ul-czyzewskiego-lobzow-ID3Y0AA.html#f4f90ae749,ul. Czyżewskiego Łobzów,"Mieszkanie na sprzedaż: Kraków, Łobzów",379 000 zł,2 pokoje,43 m²
3881,listing_no_promo,58630748,https://www.otodom.pl/oferta/2-pokoje-osobna-kuchnia-balkon-50m-mistrzejowice-ID3Y0xe.html#f4f90ae749,"2 pokoje,osobna kuchnia,balkon, 50m. Mistrzejowice","Mieszkanie na sprzedaż: Kraków, Mistrzejowice",369 900 zł,2 pokoje,50 m²
3882,listing_no_promo,58630500,https://www.otodom.pl/oferta/mieszkanie-3-pokojowe-na-pradniku-bialym-ID3Y0te.html#f4f90ae749,Mieszkanie 3-pokojowe na Prądniku Białym!,"Mieszkanie na sprzedaż: Kraków, Prądnik Biały",420 000 zł,3 pokoje,"47,50 m²"
3883,listing_no_promo,58629556,https://www.otodom.pl/oferta/tbs-68-m-do-odnowienia-3-pokoje-kuchnia-wc-ID3Y0e0.html#f4f90ae749,Tbs 68 M Do Odnowienia 3 Pokoje Kuchnia Wc,"Mieszkanie na sprzedaż: Kraków, Nowa Huta",140 000 zł,3 pokoje,68 m²
3884,listing_no_promo,58628748,https://www.otodom.pl/oferta/nowoczesne-mieszkanie-na-poddaszu-2pietro-ID3Y00Y.html#f4f90ae749,Nowoczesne mieszkanie na poddaszu - 2piętro,"Mieszkanie na sprzedaż: Kraków, Nowa Huta",280 000 zł,2 pokoje,36 m²
3885,listing_no_promo,58158432,https://www.otodom.pl/oferta/dwupoziomowe-mieszkanie-ruczaj-krakow-ID3V1Fe.html#f4f90ae749,"Dwupoziomowe mieszkanie, Ruczaj Kraków","Mieszkanie na sprzedaż: Kraków, małopolskie",365 000 zł,3 pokoje,60 m²
3886,listing_no_promo,58627180,https://www.otodom.pl/oferta/klimatyczny-apartament-z-pieknym-tarasem-ID3XZBG.html#f4f90ae749,Klimatyczny apartament z pięknym tarasem!,"Mieszkanie na sprzedaż: Kraków, Stare Miasto",1 440 000 zł,5 pokoi,138 m²
3887,listing_no_promo,58627176,https://www.otodom.pl/oferta/dwupokojowe-64m-przy-hali-targowej-grzegorzki-ID3XZBC.html#f4f90ae749,"Dwupokojowe, 64m² przy Hali Targowej, Grzegórzki","Mieszkanie na sprzedaż: Kraków, Grzegórzki",490 000 zł,2 pokoje,64 m²
3888,listing_no_promo,58626908,https://www.otodom.pl/oferta/luksusowy-apartament-stare-miasto-2-pok-eng-ID3XZxi.html#f4f90ae749,Luksusowy Apartament | Stare Miasto | 2 pok. | Eng,"Mieszkanie na sprzedaż: Kraków, Śródmieście",825 000 zł,3 pokoje,46 m²
3889,listing_no_promo,58626756,https://www.otodom.pl/oferta/na-blonie-bronowice-twoj-sloneczny-dom-w-krakowie-ID3XZuQ.html#f4f90ae749,NA BŁONIE Bronowice Twój słoneczny dom w Krakowie,"Mieszkanie na sprzedaż: Kraków, Bronowice",860 000 zł,5 pokoi,"108,51 m²"
3890,listing_no_promo,58626708,https://www.otodom.pl/oferta/mieszkanie-36-m2-ii-poziomowe-3-pokoje-ID3XZu4.html#f4f90ae749,"Mieszkanie 36 m2, II poziomowe, 3 pokoje!","Mieszkanie na sprzedaż: Kraków, Prądnik Biały",250 000 zł,3 pokoje,36 m²
3891,listing_no_promo,58626672,https://www.otodom.pl/oferta/3-pok-mieszkanie-m-w-garazu-z-komora-lokatorska-ID3XZtu.html#f4f90ae749,3 pok. mieszkanie m. w garażu z komórą lokatorską,"Mieszkanie na sprzedaż: Kraków, Łobzów",650 000 zł,3 pokoje,"66,70 m²"
3892,listing_no_promo,58626588,https://www.otodom.pl/oferta/mieszkanie-okazja-3-pokoje-pradnik-bialy-ID3XZs8.html#f4f90ae749,"Mieszkanie Okazja 3 pokoje, Pradnik Biały","Mieszkanie na sprzedaż: Kraków, Prądnik Czerwony",250 000 zł,3 pokoje,36 m²
3893,listing_no_promo,58616528,https://www.otodom.pl/oferta/gotowe-2-pokojowe-38-5m2-ul-wroclawska-ID3XVPS.html#f4f90ae749,"Gotowe 2 pokojowe 38,5m2 ul. Wrocławska","Mieszkanie na sprzedaż: Kraków, Łobzów",340 000 zł,2 pokoje,"38,50 m²"
3894,listing_no_promo,58620280,https://www.otodom.pl/oferta/przestronne-2-pokoje-przy-matecznym-ID3XXOo.html#f4f90ae749,Przestronne 2 pokoje przy Matecznym,"Mieszkanie na sprzedaż: Kraków, Podgórze",511 485 zł,2 pokoje,"52,46 m²"
3895,listing_no_promo,58625504,https://www.otodom.pl/oferta/98m2-do-remontu-przy-kleparzu-z-winda-ID3XZaE.html#f4f90ae749,98m2 do remontu przy Kleparzu z windą!,"Mieszkanie na sprzedaż: Kraków, Stare Miasto",799 000 zł,3 pokoje,98 m²
